Cita_Original,Tipo,Es_Compleja,Categoria
Máximo (2020),Narrativa,FALSE,Automatizable
Maya & Hermosilla (2019),Narrativa,FALSE,Automatizable
Mendoza (2021),Narrativa,FALSE,Automatizable
Menéndez (2002),Narrativa,FALSE,Automatizable
México (2019),Narrativa,FALSE,Automatizable
México (2024),Narrativa,FALSE,Automatizable
Miranda (2015),Narrativa,FALSE,Automatizable
Moreno (2023),Narrativa,FALSE,Automatizable
Muzzopappa & Villalta (2022),Narrativa,FALSE,Automatizable
Nancy (1995),Narrativa,FALSE,Automatizable
Naotaka (2009),Narrativa,FALSE,Automatizable
Nicolás (2012),Narrativa,FALSE,Automatizable
ONU Medio Ambiente (2018),Narrativa,FALSE,Automatizable
Osvaldo (2021),Narrativa,FALSE,Automatizable
Perelman y Boy (2010),Narrativa,FALSE,Automatizable
Peter Redfield y Erica Bornstein (2011),Narrativa,FALSE,Automatizable
Pierre Bourdieu (1994),Narrativa,FALSE,Automatizable
Pilar (2014),Narrativa,FALSE,Automatizable
Podgornik-Jakil y Bens (2021),Narrativa,FALSE,Automatizable
"Poulantzas (1978, 1997)",Narrativa,FALSE,Automatizable
Ricardo (2005),Narrativa,FALSE,Automatizable
Ricardo López (2019),Narrativa,FALSE,Automatizable
Rifo & Durán (2022),Narrativa,FALSE,Automatizable
Rizo (2006),Narrativa,FALSE,Automatizable
Robert Castel (2004),Narrativa,FALSE,Automatizable
Rocha (2022),Narrativa,FALSE,Automatizable
Roger (2015),Narrativa,FALSE,Automatizable
Rolando (2005),Narrativa,FALSE,Automatizable
Rosa María (2012),Narrativa,FALSE,Automatizable
Roth (2002),Narrativa,FALSE,Automatizable
Rubio (2017),Narrativa,FALSE,Automatizable
Santiago Castro Gómez (2021),Narrativa,FALSE,Automatizable
Saskia (1991),Narrativa,FALSE,Automatizable
Sassen (1991),Narrativa,FALSE,Automatizable
Scott (1998),Narrativa,FALSE,Automatizable
Según María Cristina Bayón (2014),Narrativa,FALSE,Automatizable
Setha y Sally Engle Merry (2010),Narrativa,FALSE,Automatizable
Shore (2010),Narrativa,FALSE,Automatizable
Signorelli (1999),Narrativa,FALSE,Automatizable
Standing (2013),Narrativa,FALSE,Automatizable
Tania (2013),Narrativa,FALSE,Automatizable
Tim (1996),Narrativa,FALSE,Automatizable
Titmuss (1987),Narrativa,FALSE,Automatizable
Tokman (2001),Narrativa,FALSE,Automatizable
Valentina (2017),Narrativa,FALSE,Automatizable
Víctor (2001),Narrativa,FALSE,Automatizable
Villanova (2012),Narrativa,FALSE,Automatizable
Wall (2015),Narrativa,FALSE,Automatizable
William (1989),Narrativa,FALSE,Automatizable
William (2011),Narrativa,FALSE,Automatizable
Xiao (2022),Narrativa,FALSE,Automatizable
Ziga Podgornik-Jakil y Jona Bens (2021),Narrativa,FALSE,Automatizable
